%1$d already matched	已匹配 %1$d 项
%1$d areas were checked and everything they need is here.	已检查 %1$d 个区域，所需内容均已就绪.
%1$d fields overridden	已覆盖 %1$d 个字段
%1$d fields will be overridden when requested	请求时将覆盖 %1$d 个字段
%1$d gates selected	已选择 %1$d 个功能项
%1$d minutes left	剩余 %1$d 分钟
%1$d rejected	已拒绝 %1$d 项
%1$d results	%1$d 个结果
%1$d results so far	目前有 %1$d 个结果
%1$d results so far, and more not counted	目前有 %1$d 个结果，另有更多未计数
%1$d results, filtered to %2$s	%1$d 个结果，已筛选为 %2$s
%1$d setting was not in that file and was left as it is	有 %1$d 项设置不在该文件中，已保持原样
%1$d settings were not in that file and were left as they are	有 %1$d 项设置不在该文件中，已保持原样
%1$d unavailable	%1$d 项不可用
%1$s (%2$s)	%1$s（%2$s）
%1$s (TikTok value)	%1$s（TikTok 值）
%1$s (custom, unverified)	%1$s（自定义，未验证）
%1$s (override returned)	%1$s（已返回覆盖值）
%1$s (will be returned when requested)	%1$s（请求时将返回）
%1$s / current cache only	%1$s / 仅当前缓存
%1$s / generated registry	%1$s / 自动生成索引
%1$s / generated registry and current cache	%1$s / 自动生成索引和当前缓存
%1$s / local catalog	%1$s / 本地功能清单
%1$s and above	%1$s 及以上
%1$s appears more than once in this file.	%1$s 在此文件中出现了多次.
%1$s changed	%1$s 已更改
%1$s day	%1$s 天
%1$s days	%1$s 天
%1$s destinations must start with %2$s	%1$s 的目标位置必须以 %2$s 开头
%1$s dp	%1$s dp
%1$s has an invalid value. %2$s	%1$s 的值无效。%2$s
%1$s has type %2$s, but the file says %3$s.	%1$s 的类型是 %2$s，但文件中写的是 %3$s.
%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted.	%1$s 已连续 %2$d 次隐藏 TikTok 发来的全部内容。如果这不是你想要的效果，请将其关闭.
%1$s is a kind of value the Lab cannot override.	%1$s 属于实验室无法覆盖的值类型.
%1$s is already hidden	%1$s 已被隐藏
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s 不是国家代码，因此不会有视频匹配。请使用两个字母，例如 GB、IE 或 US.
%1$s is not in this Lab catalog.	%1$s 不在实验室功能清单中.
%1$s isn't installed or doesn't take links	未安装 %1$s，或它不接受链接
%1$s left	剩余 %1$s
%1$s millisecond	%1$s 毫秒
%1$s milliseconds	%1$s 毫秒
%1$s min left	剩余 %1$s 分钟
%1$s minute	%1$s 分钟
%1$s minutes	%1$s 分钟
%1$s point	%1$s 点
%1$s points	%1$s 点
%1$s s	%1$s 秒
%1$s second	%1$s 秒
%1$s seconds	%1$s 秒
%1$s time	%1$s 次
%1$s times	%1$s 次
%1$s to %2$s	%1$s 到 %2$s
%1$s video	%1$s 个视频
%1$s videos	%1$s 个视频
%1$s videos left	剩余 %1$s 个视频
%1$s view per comment	每条评论 %1$s 次播放
%1$s view per like	每个赞 %1$s 次播放
%1$s views per comment	每条评论 %1$s 次播放
%1$s views per like	每个赞 %1$s 次播放
%1$s was rejected. %2$s	%1$s 被拒绝。%2$s
%1$s, %2$s or %3$s	%1$s、%2$s 或 %3$s
%1$s, %2$s, %3$s or %4$s	%1$s、%2$s、%3$s 或 %4$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s、%2$s、%3$s、%4$s、%5$s
%1$s, selected	%1$s，已选择
%1$s. %2$s	%1$s。%2$s
%1$s: %2$d found, %3$d missing	%1$s：找到 %2$d 项，缺少 %3$d 项
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数。首个缺失项：%4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项。首个缺失项：%4$s
%1$s: %2$s	%1$s：%2$s
1 field overridden	已覆盖 1 个字段
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	填写外部下载应用的包名，例如 com.dv.adm。点击保存时会把视频链接发送给该应用，而不是由 TikTok 保存；留空则仍在 TikTok 中保存.
An exception names one creator, so a pattern can't be one: %1$s	例外项只能指定一个创作者，不能使用匹配规则：%1$s
An exception takes a handle or id, not a display name: %1$s	例外项需要填写用户名或 ID，而不是显示名称：%1$s
An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup.	上次未完成的设置更改无法恢复，相关记录已另行保存。请检查当前设置，或恢复备份.
An operator code is five or six digits, like 310260	运营商代码应为 5 或 6 位数字，例如 310260
An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.	覆盖值只改变 TikTok 读取到的值，不会改写缓存，也不代表对应功能一定生效.
Animated sticker format	动态贴纸格式
Answer TikTok's location requests with nothing. The region settings change the locale and timezone; this stops the coordinates.	TikTok 请求定位时返回空值。地区设置只改区域和时区，此项则阻止提供坐标.
Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.	TikTok 读取联系人时返回空列表，使“查找好友”和“你可能认识的人”无法访问联系人.
Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone.	TikTok 扫描本机已安装应用时返回空列表。针对特定应用的单项检查会保留，因为 TikTok 还需要它来打开你点按的应用.
App	应用
App AB	A/B 实验
Appearance	外观
Applies to both video and photo downloads.	同时适用于视频和图片下载.
Apply	应用
Apply overrides	应用覆盖值
Applying Calm feed	正在应用“清爽信息流”
Around the video	视频界面控件
Arrange your feed and bottom tabs	调整信息流和底部标签
Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions.	让 TikTok 返回不针对你账号个性化的搜索结果。此选项只改变搜索结果，不改变搜索按钮或搜索建议.
Attention	注意
Audio	音频
Auto translate comments	自动翻译评论
Auto-advance	自动连播
Auto-advance session limit	自动连播数量上限
Auto-advance stopped after %1$d videos	自动连播已在 %1$d 个视频后停止
Auto-advance stopped after one video	自动连播已在 1 个视频后停止
Auto-advance videos	自动播放下一个视频
Automatic	自动
Automatic clear display	自动清屏
Avatar and follow button	头像和关注按钮
Back	返回
Back up settings	备份设置
Backup and restore	备份与恢复
Black	黑色
Block clipboard reads	阻止读取剪贴板
Block contact list access	阻止访问联系人列表
Block installed app scanning	阻止扫描已安装应用
Block location	阻止定位
Block motion sensors	阻止访问运动传感器
Block new bottom tabs	阻止新增底部标签
Block new feed tabs	阻止新增信息流标签
Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts.	一键拉黑当前创作者。成功后跳到下一条视频，左上角会显示 2 秒“解除拉黑”；也可稍后在 TikTok“隐私 > 已屏蔽账号”中解除.
Block this commenter	拉黑此评论者
Block this creator	拉黑此创作者
Block this sound	屏蔽此声音
Blocked	已屏蔽
Blocked %1$s	已屏蔽 %1$s
Blocked %1$s. Unblock	已屏蔽 %1$s。解除
Blocked and hidden creators	已屏蔽和已隐藏的创作者
Blocked caption words	已屏蔽的文案关键词
Blocked comment words	已屏蔽的评论关键词
Blocked creators	已屏蔽的创作者
Blocked sound ids	已屏蔽的声音 ID
Blocked sound names	已屏蔽的声音名称
Blocked sounds	已屏蔽的声音
Blocking	正在屏蔽
Boolean	布尔值
Bottom tabs to keep	保留的底部标签
Browse	浏览
Calm feed	清爽信息流
Calm feed couldn't be applied. Nothing was changed.	无法应用“清爽信息流”。未进行任何更改.
Calm feed couldn't start. Try again shortly.	无法启动“清爽信息流”。请稍后重试.
Calm feed is on.	“清爽信息流”已开启.
Calm feed is on. Restart TikTok to apply every change.	“清爽信息流”已开启。重启 TikTok 以应用全部更改.
Camera and microphone in use	正在使用摄像头和麦克风
Camera in use	正在使用摄像头
Cancel	取消
Caption background	字幕背景
Caption text size	字幕文字大小
Captions	字幕
Captions, gestures and on-screen controls	字幕、手势与屏幕控件
Capture crash reports locally	在本地保存崩溃报告
Changed	已更改
Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	请选择 %1$d 到 %2$d 个视频。超出范围的值会使用最接近的有效上限。重启 TikTok 后生效.
Choose a backup file. Your current settings are kept for Undo.	请选择备份文件。当前设置会保留，可用于撤销.
Choose a folder on internal storage. SD cards are not supported.	请选择内部存储中的文件夹。不支持 SD 卡.
Choose a preset to fill the SIM details.	选择一个预设来填写 SIM 信息.
Choose a subfolder under %1$s.	请选择 %1$s 下的子文件夹.
Choose what reaches your feed	选择哪些内容进入你的信息流
Choose which loaded TikTok bottom navigation tabs should stay visible.	选择保留哪些 TikTok 已加载的底部导航标签.
Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden.	选择保留哪些 TikTok 已加载的信息流标签。若只保留“为你推荐”，会隐藏多余标题.
Choose which rows and controls appear	选择显示哪些项目和控件
Clear all	全部清除
Clear all Lab data (overrides, switch, recordings)	清除实验室全部数据（覆盖值、总开关、记录）
Clear all suggested accounts	清除所有推荐账号
Clear diagnostic data	清除诊断数据
Clear display	清屏
Clear display delay	清屏延迟
Clear preset	清除预设
Clear search	清除搜索
Clear seen videos	清除已看视频
Clear the recent events, saved crash reports and the hook status above.	清除最近事件、已保存的崩溃报告以及上方的 Hook 状态.
Clear the search	清除搜索
Cleared. Tap to undo before TikTok closes.	已清除。TikTok 关闭前可点按撤销.
Clearing	正在清除
Clearing suggested accounts	正在清除推荐账号
Clearing, %1$d so far	正在清除，目前已处理 %1$d 项
Close	关闭
Comma separated account handles or user ids. Their videos stay when only a filter on the kind of post, its labels, age, length or counts would hide them. Ads, blocked creators, words, sounds and countries, and seen videos still apply.	用英文逗号分隔用户名或用户 ID。若视频只因内容类型、标签、发布时间、时长或数据量规则被筛掉，这些账号的视频仍会保留；广告、已屏蔽创作者、关键词、声音、国家/地区和已看视频规则仍生效.
Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	用英文逗号分隔用户名或用户 ID，这些账号的视频始终隐藏。用斜杠包围可写匹配规则，同时匹配用户名和显示名称，例如 /^news_/.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	用英文逗号分隔国家/地区代码，例如 GB、IE。隐藏其他地区发布的视频；留空表示不限地区.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	用英文逗号分隔国家/地区代码。无论上方如何设置，这些地区发布的视频都会隐藏.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	用英文逗号分隔其他要隐藏的收件箱项目标题，需精确匹配。可用于上方未列出的项目.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	按分享面板显示名称填写，并用英文逗号分隔：包括“发送给”中的好友、Facebook 等分享目标，以及“创建群聊”“转发”等操作。copy、save、dislike 等稳定键名也可使用.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	用英文逗号分隔由播放器声音按钮记录的声音 ID。删除某项即可解除屏蔽.
Comma separated usernames or display names whose comments are hidden.	用英文逗号分隔用户名或显示名称，这些用户的评论将被隐藏.
Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	用英文逗号分隔关键词或短语。文案匹配的视频会被隐藏，不区分大小写。两个带引号的短语可组合："a" & "b" 表示两者都需出现；"a" !& "b" 表示需要前者且不能有后者.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	用英文逗号分隔用于匹配声音名称的关键词，例如 saxophone。不区分大小写.
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	用英文逗号分隔。评论文字只要包含任意一项就会被隐藏，不区分大小写。两个带引号的短语可组合："a" & "b" 表示两者都需出现；"a" !& "b" 表示需要前者且不能有后者.
Comment media filename	评论媒体文件名
Comments	评论
Comments aren't available for this video	此视频没有可用评论
Comments beside the video	在视频旁显示评论
Comments range	评论数范围
Compact comment header	紧凑评论标题栏
Compare gate reads with their previous values.	将功能项读取值与先前值进行比较.
Completed an interrupted settings change. Restart TikTok to apply this.	已完成之前中断的设置更改。重启 TikTok 后生效.
Config	配置
Config (Settings Manager)	配置管理器\nSettings Manager
Confirm before following	关注前确认
Confirm before liking	点赞前确认
Confirm before sending to a friend	发送给好友前确认
Continue supported videos from where you stopped when you scroll back to them.	滚动返回支持的视频时，从上次停止的位置继续播放.
Controls	控件
Copied feature gate report	已复制功能项报告
Copy a quick report or save the full report as a file.	复制简要报告，或将完整报告保存为文件.
Copy comments without username	复制评论时不带用户名
Copy only the comment text when using TikTok's copy comment action.	使用 TikTok 的“复制评论”操作时，仅复制评论正文.
Copy quick report	复制简要报告
Copy report	复制报告
Copy the sound link	复制声音链接
Copy the video link	复制视频链接
Couldn't change the Lab settings. Try again.	无法更改实验室设置。请重试.
Couldn't clear the suggested accounts. Reopen the Inbox and try again.	无法清除推荐账号。请重新打开收件箱后重试.
Couldn't confirm the block for %1$s. Open their profile to check.	无法确认是否已拉黑 %1$s。请打开其个人资料检查.
Couldn't confirm the unblock for %1$s. Open their profile to check.	无法确认是否已解除对 %1$s 的拉黑。请打开其个人资料检查.
Couldn't copy the report. Use Save JSON instead.	无法复制报告。请改用“保存 JSON”.
Couldn't open settings search. Reopen settings and try again.	无法打开设置搜索。请重新打开设置后重试.
Couldn't open that settings section. Reopen settings and try again.	无法打开该设置页面。请重新打开设置后重试.
Couldn't open the file picker to export. Try again.	无法打开文件选择器进行导出。请重试.
Couldn't open the file picker to import. Try again.	无法打开文件选择器进行导入。请重试.
Couldn't put back the diagnostic data. Try again.	无法恢复诊断数据。请重试.
Couldn't read who posted this comment. Open their profile and block them there.	无法识别此评论的发布者。请打开其个人资料并在那里拉黑.
Couldn't reset this override. Try again.	无法重置此覆盖值。请重试.
Couldn't restore the settings. Try again.	无法恢复设置。请重试.
Couldn't save the settings backup. Try again.	无法保存设置备份。请重试.
Couldn't save this override. Try again.	无法保存此覆盖值。请重试.
Couldn't send the feedback. Try again shortly.	无法发送反馈。请稍后重试.
Couldn't start the Lab change. Try again shortly.	无法开始实验室更改。请稍后重试.
Couldn't start the report export. Try again shortly.	无法开始导出报告。请稍后重试.
Couldn't start the settings change. Try again shortly.	无法开始更改设置。请稍后重试.
Couldn't tell which folder to update. Choose it again.	无法确定要更新哪个文件夹。请重新选择.
Couldn't undo the clear. Try again.	无法撤销清除操作。请重试.
Country and network preferences	国家/地区与网络偏好
Country code	国家/地区代码
Country filters	国家/地区筛选
Counts under the buttons	按钮下方的数量
Create	创建
Creator exceptions	创作者例外名单
Creators and sounds	创作者与声音
Creators hidden on this phone	本机隐藏的创作者
Creators you hid from a video. Search the list and remove one at a time.	这里列出从视频中隐藏的创作者，可搜索并逐个移除.
Current	当前值
Current %1$s	当前 %1$s
Current cache unavailable: %1$s	当前缓存不可用：%1$s
Current state	当前状态
Current: %1$s	当前：%1$s
Custom SIM details	自定义 SIM 信息
Custom value	自定义值
Custom value...	自定义值...
Daily budget	自定义每日使用上限
Daily budgets, reminders and the hold	每日使用上限、提醒与暂停
Daily time budget	每日观看时长上限
Daily video budget	每日视频数量上限
Dark	深色
Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.	记住视频的天数。设为 0 表示不限制时间。历史记录最多保留 %1$s 个视频.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	单位：天。0 表示不限制发布时间。没有有效时间戳的帖子（包括未来时间）不会被隐藏.
Default	默认值
Default playback speed	默认播放速度
Destination updated	保存位置已更新
Device access	设备访问
Device language, then original	设备语言优先，其次原文
Diagnostic data cleared. Tap again to put it back.	诊断数据已清除。再次点按可恢复.
Diagnostic data put back	诊断数据已恢复
Diagnostic report copied to the clipboard	诊断报告已复制到剪贴板
Diagnostics	诊断
Disable	禁用
Disabled	已禁用
Discard edits	放弃修改
Dismissed %1$s suggested accounts	已移除 %1$s 个推荐账号
Dismissed one suggested account	已移除 1 个推荐账号
Do not start the feed on returning	返回应用时不要自动播放信息流
Do nothing	不执行操作
Done	完成
Double tap	双击
Download original photos	下载原始图片
Downloads	下载
Drag to move, release to place	拖动以移动，松开以放置
Drama and Series	短剧与系列
Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this.	使用设备系统字体显示 TikTok 文字，而不是 TikTok Sans。图标、礼物动画以及 @ 和 # 字符仍使用各自字体。重启 TikTok 后生效.
Each area, how many of the things it looks for are in this build and how many are not.	显示各区域在当前版本中已找到和缺失的目标数量.
Easier comment likes	扩大评论点赞触控范围
Empty	空
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	清空主屏幕长按 TikTok 图标时的快捷菜单。关闭此项后 TikTok 会重新生成；应用仍可正常打开，手动固定的快捷方式不受影响.
Enable	启用
Enabled	已启用
Enter a JSON object or array.	请输入 JSON 对象或数组.
Enter a creator handle or id	请输入创作者用户名或 ID
Enter a finite number.	请输入有限数值.
Enter a number	输入数字
Enter a number.	请输入数字.
Enter a valid structured value.	请输入有效的结构化数据.
Enter a valid two-letter country code	请输入有效的两位国家/地区代码
Enter a whole number, or one like 20K, 1.5M or 2B	请输入整数，或类似 20K、1.5M、2B 的数值
Enter a whole number.	请输入整数.
Enter true or false.	请输入 true 或 false.
Enter up to %1$d comma-separated speeds from %2$s to %3$s	最多输入 %1$d 个用英文逗号分隔的速度值，范围为 %2$s 到 %3$s
Enter valid JSON.	请输入有效的 JSON.
Entry %1$d has a field with the wrong data type.	第 %1$d 项中有字段的数据类型错误.
Entry %1$d is not an object.	第 %1$d 项不是对象.
Errors	错误
Expand activity list	展开活动列表
Explore	探索
Export diagnostic report	导出诊断报告
Export loaded values	导出已加载的值
Exported %1$d loaded values	已导出 %1$d 个已加载值
Exported 1 loaded value	已导出 1 个已加载值
Extend the heart's touch area into nearby blank space. The icon and row spacing stay the same. Text, Reply and other controls keep their own space.	扩大爱心按钮的可点击范围，但不改变图标和布局，也不会占用文字、“回复”等控件区域.
Fade the feed out before the hold	暂停信息流前逐渐淡出
Favorites range	收藏数范围
Feature Gate Lab	功能实验室
Feature gate override reset	功能项覆盖值已重置
Feature gate override saved	功能项覆盖值已保存
Feed and navigation	信息流与导航
Feed button size	信息流按钮大小
Feed filter	信息流筛选
Feed screen	信息流界面
Feed tabs	信息流标签
Feed tabs to keep	保留的信息流标签
Field %1$s can't be changed on this build. Take it out of the override, or reset the override.	当前版本无法更改字段 %1$s。请从覆盖值中移除它，或重置该覆盖值.
Field edits were discarded	字段修改已丢弃
Field edits were not saved	字段修改未保存
Files	文件
Filter TikTok's offline videos	筛选 TikTok 离线视频
Filter bottom tabs	选择底部标签
Filter comments by keyword	按关键词筛选评论
Filter feed tabs	选择信息流标签
Filter location-tagged videos	筛选带地点标签的视频
Filter settings	筛选设置
Filter the list	筛选列表
Filter: %1$s	筛选：%1$s
Filters, translation and copy options	筛选、翻译与复制选项
Find a setting by name or description	按名称或说明查找设置
Find the sound on YouTube Music	在 YouTube Music 中查找此声音
First caller	首次调用位置\nFirst caller
First rejection:	首次拒绝:
Fit the video to the screen	使视频适应屏幕
Focus	专注
Follow probe	关注请求诊断\nFollow Probe
Following	关注中
For You	为你推荐
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	仅适用于 com.deniscerri.ytdl。将链接交给 YTDLnis 时，可选择下载音频或视频.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	仅适用于 com.deniscerri.ytdl。隐藏 YTDLnis 的下载卡片，并在后台开始下载任务.
